20220920_093739_87,0.0,0.8936,"(2978, 2141, 3080, 2247)"
20220920_093739_87,0.0,0.8815,"(3609, 2527, 3909, 2797)"
20220920_093739_87,1.0,0.5598,"(3508, 1898, 4032, 2995)"
20220920_093739_87,1.0,0.4448,"(2948, 1766, 3678, 2423)"
20220920_093739_87,1.0,0.2767,"(0, 1614, 549, 2249)"
20220920_093520_67,0.0,0.8855,"(3449, 2356, 3670, 2543)"
20220920_093520_67,0.0,0.8852,"(2966, 2028, 3058, 2118)"
20220920_093520_67,0.0,0.7947,"(224, 1900, 398, 1954)"
20220920_093520_67,0.0,0.7314,"(1353, 1733, 1421, 1753)"
20220920_093520_67,1.0,0.7114,"(3391, 1767, 4032, 2791)"
20220920_093520_67,0.0,0.6743,"(2722, 1880, 2768, 1916)"
20220920_093520_67,0.0,0.5342,"(2540, 1811, 2568, 1842)"
20220920_093520_67,1.0,0.4445,"(39, 1646, 946, 2192)"
20220920_093520_67,1.0,0.4334,"(2949, 1611, 3650, 2248)"
20220920_093520_67,1.0,0.3937,"(1302, 1572, 1559, 1791)"
20220920_092655_87,0.0,0.8819,"(1964, 2041, 2120, 2116)"
20220920_092655_87,0.0,0.8452,"(1414, 1969, 1509, 2025)"
20220920_092655_87,0.0,0.8359,"(986, 1910, 1058, 1959)"
20220920_092655_87,0.0,0.7564,"(779, 1846, 824, 1884)"
20220920_092655_87,0.0,0.5335,"(636, 1811, 675, 1845)"
20220920_092655_87,1.0,0.4719,"(777, 1728, 989, 1944)"
20220920_092655_87,1.0,0.4531,"(1877, 1591, 2822, 2219)"
20220920_092655_87,1.0,0.4371,"(1387, 1654, 1920, 2123)"
20220920_092655_87,1.0,0.3426,"(973, 1708, 1443, 2040)"
20220920_092655_87,1.0,0.2793,"(637, 1706, 816, 1888)"
20220920_092655_87,0.0,0.2779,"(1412, 1971, 1443, 2039)"
20220915_172621_29,0.0,0.8446,"(2809, 1895, 2898, 1949)"
20220915_172621_29,1.0,0.4448,"(2772, 1734, 3267, 2060)"
20221117_133914_11,0.0,0.8933,"(776, 2143, 926, 2267)"
20221117_133914_11,0.0,0.7712,"(1285, 1879, 1350, 1937)"
20221117_133914_11,0.0,0.7104,"(2840, 1689, 2907, 1711)"
20221117_133914_11,0.0,0.6874,"(2803, 1826, 2843, 1867)"
20221117_133914_11,0.0,0.6622,"(2556, 1709, 2624, 1729)"
20221117_133914_11,0.0,0.5772,"(1525, 1795, 1556, 1831)"
20221117_133914_11,1.0,0.4595,"(110, 1895, 979, 2450)"
20221117_133914_11,1.0,0.2999,"(2463, 1643, 2678, 1777)"
20220915_171316_19,0.0,0.9018,"(614, 2144, 761, 2277)"
20220915_171316_19,0.0,0.8863,"(2817, 2116, 2934, 2229)"
20220915_171316_19,1.0,0.4668,"(6, 1870, 817, 2552)"
20220915_171316_19,1.0,0.4539,"(2780, 1791, 3603, 2456)"
20221117_134756_41,0.0,0.9038,"(1805, 1971, 1891, 2046)"
20221117_134756_41,0.0,0.8846,"(1234, 2131, 1408, 2258)"
20221117_134756_41,0.0,0.708,"(2119, 1833, 2163, 1874)"
20221117_134756_41,0.0,0.5943,"(1, 2682, 106, 2841)"
20221117_134756_41,1.0,0.4457,"(1452, 1773, 1921, 2165)"
20221117_134756_41,1.0,0.2647,"(0, 2095, 435, 2906)"
20221117_134756_41,1.0,0.2505,"(1897, 1714, 2172, 1956)"
20220915_172636_29,0.0,0.3699,"(1611, 1638, 1668, 1660)"
20220920_094408_47,0.0,0.9055,"(3285, 2344, 3465, 2514)"
20220920_094408_47,0.0,0.8352,"(652, 1926, 781, 1961)"
20220920_094408_47,1.0,0.4728,"(3229, 1830, 4030, 2780)"
20220920_094408_47,1.0,0.4478,"(597, 1632, 1083, 2033)"
20220915_172606_39,0.0,0.6924,"(3742, 1754, 3826, 1781)"
20220915_172606_39,1.0,0.3108,"(3552, 1649, 3886, 1828)"
20220915_172606_39,0.0,0.3093,"(1786, 1765, 1818, 1822)"
20220915_171243_39,0.0,0.892,"(1085, 1969, 1157, 2038)"
20220915_171243_39,0.0,0.8731,"(3007, 1963, 3090, 2038)"
20220915_171243_39,0.0,0.8036,"(3698, 2364, 3949, 2552)"
20220915_171243_39,0.0,0.7503,"(2766, 1859, 2814, 1906)"
20220915_171243_39,0.0,0.5427,"(2530, 1787, 2563, 1822)"
20220915_171243_39,1.0,0.4418,"(853, 1766, 1173, 2149)"
20220915_171243_39,1.0,0.4408,"(2989, 1802, 3601, 2167)"
20220915_171243_39,1.0,0.4205,"(3580, 2035, 4030, 2690)"
20220915_171243_39,1.0,0.3173,"(2755, 1738, 3041, 1985)"
20220920_092658_47,0.0,0.8847,"(2626, 2162, 2797, 2281)"
20220920_092658_47,0.0,0.8837,"(2060, 1981, 2140, 2055)"
20220920_092658_47,0.0,0.8266,"(3835, 2539, 4032, 2702)"
20220920_092658_47,0.0,0.798,"(1846, 1864, 1894, 1910)"
20220920_092658_47,0.0,0.5914,"(1730, 1811, 1759, 1844)"
20220920_092658_47,0.0,0.5496,"(336, 1891, 371, 1936)"
20220920_092658_47,0.0,0.4799,"(300, 1980, 348, 2037)"
20220920_092658_47,1.0,0.4251,"(2039, 1760, 2618, 2186)"
20220920_092658_47,1.0,0.4212,"(2574, 1771, 3618, 2486)"
20220920_092658_47,0.0,0.3495,"(963, 1649, 1026, 1670)"
20220920_092658_47,1.0,0.3404,"(3538, 1837, 4032, 2843)"
20220920_092658_47,1.0,0.3213,"(1839, 1731, 2106, 1982)"
20220920_092658_47,1.0,0.2876,"(342, 1711, 606, 1939)"
20220920_092658_47,1.0,0.2595,"(174, 1787, 369, 2098)"
20220920_093557_47,0.0,0.8766,"(1248, 1898, 1354, 1941)"
20220920_093557_47,0.0,0.8683,"(3798, 2165, 3912, 2280)"
20220920_093557_47,0.0,0.8633,"(2632, 2006, 2811, 2058)"
20220920_093557_47,0.0,0.842,"(871, 1854, 956, 1893)"
20220920_093557_47,0.0,0.8387,"(1942, 1949, 2084, 1996)"
20220920_093557_47,0.0,0.5982,"(547, 1824, 619, 1855)"
20220920_093557_47,1.0,0.4651,"(512, 1663, 866, 1912)"
20220920_093557_47,1.0,0.4567,"(2449, 1630, 3044, 2130)"
20220920_093557_47,1.0,0.4159,"(1852, 1557, 2422, 2030)"
20220920_093557_47,1.0,0.4144,"(844, 1673, 1193, 1953)"
20220920_093557_47,1.0,0.4065,"(3765, 1937, 4031, 2450)"
20220920_093557_47,1.0,0.4057,"(1193, 1603, 1604, 2000)"
20220915_172720_79,0.0,0.8842,"(2764, 1910, 2862, 1957)"
20220915_172720_79,0.0,0.8111,"(3179, 1860, 3260, 1905)"
20220915_172720_79,1.0,0.4512,"(2485, 1746, 2893, 2039)"
20220915_172720_79,1.0,0.3619,"(2953, 1712, 3281, 1954)"
20220915_172720_79,1.0,0.3163,"(1, 1882, 582, 2504)"
20220915_172641_79,0.0,0.7921,"(1199, 1729, 1297, 1762)"
20220915_172641_79,1.0,0.3853,"(1134, 1662, 1497, 1883)"
20220915_172641_79,0.0,0.3812,"(3246, 1801, 3338, 1869)"
20220915_172641_79,0.0,0.3507,"(2939, 1753, 3002, 1789)"
20220915_172641_79,1.0,0.2595,"(3186, 1534, 3655, 2026)"
20220920_094455_97,0.0,0.8807,"(2749, 2043, 2866, 2130)"
20220920_094455_97,0.0,0.8765,"(3521, 2365, 3824, 2554)"
20220920_094455_97,0.0,0.8202,"(474, 1813, 583, 1843)"
20220920_094455_97,0.0,0.8119,"(2388, 1859, 2445, 1906)"
20220920_094455_97,0.0,0.5407,"(2140, 1802, 2182, 1843)"
20220920_094455_97,1.0,0.4394,"(379, 1667, 806, 1905)"
20220920_094455_97,1.0,0.432,"(2713, 1751, 3524, 2306)"
20220920_094455_97,1.0,0.4221,"(3391, 1797, 4031, 2703)"
20220920_094455_97,1.0,0.4141,"(2371, 1713, 2525, 1974)"
20220920_093539_37,0.0,0.8488,"(712, 2117, 818, 2218)"
20220920_093539_37,0.0,0.8352,"(1182, 1881, 1230, 1933)"
20220920_093539_37,0.0,0.5954,"(1353, 1782, 1381, 1816)"
20220920_093539_37,1.0,0.4551,"(51, 1869, 856, 2411)"
20220920_093539_37,1.0,0.4101,"(802, 1756, 1241, 2040)"
20220915_172739_29,0.0,0.8837,"(814, 2017, 922, 2097)"
20220915_172739_29,0.0,0.8593,"(1175, 1882, 1240, 1943)"
20220915_172739_29,0.0,0.858,"(274, 2260, 491, 2417)"
20220915_172739_29,0.0,0.8446,"(3281, 2287, 3491, 2482)"
20220915_172739_29,0.0,0.719,"(2741, 1885, 2789, 1935)"
20220915_172739_29,1.0,0.4651,"(0, 1916, 571, 2608)"
20220915_172739_29,1.0,0.4566,"(509, 1831, 958, 2202)"
20220915_172739_29,1.0,0.4271,"(3212, 1890, 4032, 2777)"
20220915_172739_29,1.0,0.394,"(2733, 1709, 3135, 2054)"
20220915_172739_29,1.0,0.3674,"(918, 1769, 1258, 2017)"
20220915_172739_29,0.0,0.3377,"(1512, 1785, 1549, 1816)"
20220920_092828_47,0.0,0.8644,"(1075, 1926, 1209, 1963)"
20220920_092828_47,1.0,0.4617,"(1000, 1615, 1510, 2033)"
20221117_134801_41,0.0,0.9051,"(975, 2055, 1080, 2138)"
20221117_134801_41,0.0,0.7261,"(303, 2395, 504, 2572)"
20221117_134801_41,0.0,0.6978,"(1323, 1927, 1385, 1986)"
20221117_134801_41,0.0,0.5785,"(1617, 1824, 1655, 1861)"
20221117_134801_41,1.0,0.45,"(725, 1835, 1102, 2236)"
20221117_134801_41,0.0,0.3964,"(3387, 1695, 3426, 1712)"
20221117_134801_41,1.0,0.3906,"(1078, 1792, 1401, 2077)"
20221117_134801_41,1.0,0.2563,"(1, 2016, 554, 2746)"
